,ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Last Inspection Date,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
5701,SOAD17853,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.765,0.073,,1945.0,,,,,,,23.38,Low,,,0.1038,12.5,323.0,
5702,SOAD18061,Lyndrassia,No,Flood Risk Reduction,Earth,8.734,0.193,10140.0,1954.0,,0.09653,3528.85925,Uncontrolled,,0.0,,Low,Not Rated,,0.0924,47.0,21.3,
5703,SOAD18336,Lyndrassia,No,Flood Risk Reduction,Earth,8.546,0.133,17446.0,1991.0,,0.02561,798.987,Uncontrolled,07/10/1991,0.0,,Low,Not Rated,,0.0608,17.3,17.9,
5704,SOAD18990,Flumevale,Yes,Flood Risk Reduction,Earth,7.463,0.32,12813.0,1998.0,,0.05122,7.98987,Uncontrolled,14/12/2018,3.0,0.0,Significant,Satisfactory,14/12/2018,0.1196,17.4,422.9,
5705,SOAD19362,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.896,0.219,,1951.0,,,,,,,81.3,Low,,,0.0716,11.5,72.1,
5710,SOAD20055,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Gravity,8.95,0.238,25303.0,2003.0,,0.13987,,,24/07/2019,5.0,63.15,Low,Not Rated,,0.0506,43.2,126.1,
5711,SOAD20362,Lyndrassia,No,Flood Risk Reduction,Earth,10.939,0.165,22470.0,2001.0,,0.04334,1789.73088,Uncontrolled,01/11/2001,1.0,,Low,Not Rated,,0.1182,9.2,14.4,
5712,SOAD20456,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.142,0.127,,1950.0,,0.0985,,Uncontrolled,12/09/2006,,37.06,Low,,,0.1101,33.0,207.3,
5714,SOAD00048,Navaldia,No,Other,Earth,7.86,0.255,12630.0,1978.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.1139,12.0,14.9,
5715,SOAD00315,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.807,0.25,,1943.0,,0.04925,7.98987,,11/05/1998,6.0,18.55,Low,Not Rated,,0.0511,46.3,177.3,
5717,SOAD00597,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.133,,0.0,,,0.04925,194.42017,,13/05/1980,0.0,0.0,High,Not Rated,,0.0962,45.4,648.7,
5718,SOAD00791,Lyndrassia,No,Flood Risk Reduction,Earth,9.491,0.177,13788.0,2006.0,,0.23246,3939.00591,Uncontrolled,,0.0,,Low,Not Rated,,0.0618,33.8,5.3,
5719,SOAD01238,Lyndrassia,No,Flood Risk Reduction,Earth,12.085,0.143,19960.0,2008.0,,0.04925,1858.97642,Uncontrolled,,0.0,,Low,Not Rated,,0.0899,17.7,16.1,
5721,SOAD01569,Navaldia,No,,Earth,3.584,0.167,,1966.0,,0.08668,0.0,,,,,Low,Not Rated,18/06/2014,0.0893,17.8,17.5,
5722,SOAD01838,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Gravity,6.823,0.18,12455.41,2003.0,,0.1182,29.29619,,20/07/2019,5.0,0.0,Low,Not Rated,,0.0757,8.8,217.0,
5723,SOAD02162,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.134,,0.0,1955.0,,0.06698,151.80753,,,0.0,46.45,Low,Not Rated,,0.1018,10.9,188.1,
5726,SOAD02575,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.889,0.033,,1960.0,,,,,,,20.76,Low,,,0.1129,19.9,443.1,
5727,SOAD02753,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.408,0.05,,1958.0,,,,,,,16.43,Low,,,0.0981,7.5,203.5,
5728,SOAD03110,Lyndrassia,No,Flood Risk Reduction,Earth,9.495,0.184,14809.0,1990.0,,0.13002,2620.67736,Uncontrolled,15/09/1998,1.0,,Low,Not Rated,,0.0808,10.4,5.3,
5734,SOAD05376,Lyndrassia,No,Flood Risk Reduction,Earth,9.682,0.189,15200.0,1992.0,,0.02561,1038.6831,Uncontrolled,15/09/1998,1.0,,Low,Not Rated,,0.0772,40.0,22.2,
5735,SOAD05390,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.179,0.15,,1960.0,,,,,,,37.15,Low,,,0.0965,11.5,220.7,
5736,SOAD05538,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.879,,0.0,1971.0,,0.06895,756.37436,,,0.0,8.14,High,Not Rated,,0.1062,32.9,153.2,
5739,SOAD06947,Lyndrassia,No,Debris Control,Earth,8.702,0.157,11911.0,2002.0,,0.03349,1536.71833,Uncontrolled,30/11/2002,2.0,,Low,Not Rated,,0.1082,34.1,13.7,
5742,SOAD08837,Lyndrassia,No,Other,Earth,6.867,,0.0,,,0.06501,189.09359,,,0.0,0.0,High,Not Rated,,0.1099,6.4,523.8,
5743,SOAD08983,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.39,0.257,,1960.0,,0.0,0.0,,03/10/1974,,52.08,Low,Not Rated,18/06/2014,0.0718,24.3,66.0,
5745,SOAD09591,Lyndrassia,No,,Gravity,10.58,0.155,27000.0,,,0.11229,5.32658,,24/11/2019,5.0,,Low,Not Rated,,0.0667,29.2,22.6,
5747,SOAD10380,Lyndrassia,No,Flood Risk Reduction,Earth,8.632,0.18,16880.0,2004.0,,0.04334,1613.95374,Uncontrolled,30/06/2004,1.0,,Low,Not Rated,,0.1302,47.3,10.9,
5750,SOAD10762,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.739,0.05,,1958.0,,,,,,,39.13,Low,,,0.0887,17.6,221.7,
5751,SOAD10869,Lyndrassia,Yes,Tailings,Earth,40.045,1.283,300000.0,1968.0,,0.0925899999999999,0.0,Uncontrolled,25/11/2020,2.0,41.64,High,Satisfactory,21/12/2007,0.0801,46.8,121.7,
5753,SOAD11288,Lyndrassia,No,Flood Risk Reduction,Earth,9.082,0.163,12757.0,1992.0,,0.14775,4378.44876,Uncontrolled,01/09/1999,1.0,,Low,Not Rated,,0.1071,34.2,13.7,
5754,SOAD11346,Lyndrassia,Yes,Flood Risk Reduction,Earth,19.309,0.112,38000.0,1973.0,,0.04137,5.32658,Uncontrolled,03/11/2022,5.0,1.58,High,Satisfactory,19/12/2007,0.0479,15.2,891.9,
5756,SOAD11671,Navaldia,Yes,Other,Earth,9.428,0.473,,1990.0,,0.0591,1257.07288,,,,,Low,Not Rated,18/06/2014,0.0612,9.4,20.6,
5757,SOAD12203,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.13,0.043,,1915.0,,,,,,,38.49,Low,,,0.082,19.7,73.1,
5758,SOAD12236,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.785,,0.0,1940.0,,0.07092,884.21228,,,0.0,0.0,Low,Not Rated,,0.0647,43.8,775.3,
5760,SOAD12593,Flumevale,Yes,Tailings,Earth,3.527,0.6,39539.0,1991.0,,0.07486,,,15/07/2022,1.0,,Significant,Fair,01/09/2017,0.1302,31.8,34.4,
5762,SOAD12745,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.474,0.067,,1950.0,,,,,,,32.58,Low,,,0.08,13.1,177.0,
5767,SOAD14519,Lyndrassia,No,Flood Risk Reduction,Earth,11.665,0.19,18432.0,1999.0,,0.0788,1496.76898,Uncontrolled,,1.0,,Low,Not Rated,,0.1122,12.3,17.9,
5770,SOAD16641,Lyndrassia,No,Grade Stabilization,Earth,8.911,0.173,12522.0,1966.0,,0.04137,292.9619,Uncontrolled,,0.0,,Low,Not Rated,,0.1129,15.6,16.7,
5771,SOAD17005,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.49,0.2,,1971.0,,0.0788,0.0,,,,,Low,Not Rated,18/06/2014,0.1077,7.7,21.4,
5772,SOAD19027,Navaldia,Yes,,,8.042,0.17,,,,0.06501,2.66329,Uncontrolled,17/04/2019,5.0,,High,Fair,28/06/2019,0.0936,16.3,694.5,
5773,SOAD19341,Lyndrassia,No,Fish and Wildlife Pond,Earth,9.618,0.064,8497.0,1971.0,,0.04334,2205.20412,Uncontrolled,,0.0,,Low,Not Rated,,0.1039,43.9,20.2,
5774,SOAD20482,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.259,0.467,,1977.0,,0.07683,0.0,,,,,Low,Not Rated,18/06/2014,0.1096,32.0,19.7,
5777,SOAD00199,Navaldia,Yes,Flood Risk Reduction,Earth,5.632,0.544,,1984.0,,0.0197,2.66329,,,,,Low,Not Rated,18/06/2014,0.1061,35.7,18.1,
5778,SOAD00293,Navaldia,Yes,Flood Risk Reduction,Earth,12.955,0.295,42410.0,1963.0,,0.02955,2.66329,,,,15.03,Low,Not Rated,18/06/2014,0.0917,6.0,107.3,
5781,SOAD00989,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,11.345,,0.0,1972.0,,0.04137,218.38978,,28/08/1980,0.0,0.0,High,Not Rated,,0.0948,11.0,309.5,
5782,SOAD01227,Lyndrassia,No,Flood Risk Reduction,Earth,10.085,0.153,16820.0,1986.0,,0.03546,1781.74101,Uncontrolled,,0.0,,Low,Not Rated,,0.1097,40.1,23.5,
5784,SOAD01870,Lyndrassia,No,,,8.592,,0.0,1960.0,,,,,,0.0,0.0,Low,Not Available,,0.1047,17.2,880.2,
5786,SOAD02585,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.059,0.317,0.0,1970.0,,,13.31645,Uncontrolled,,0.0,53.47,Low,,,0.1047,16.1,193.3,
5787,SOAD02601,Lyndrassia,No,Grade Stabilization,Earth,9.111,0.163,12937.0,1995.0,,0.0985,1965.50802,Uncontrolled,,0.0,,Low,Not Rated,,0.1034,9.4,13.5,
5788,SOAD02750,Lyndrassia,No,Grade Stabilization,Earth,8.986,0.147,7896.0,1990.0,,0.0886499999999999,5590.24571,Uncontrolled,,0.0,,Low,Not Rated,,0.0806,5.5,18.8,
5789,SOAD03072,Lyndrassia,No,Flood Risk Reduction,Earth,7.1,,0.0,1956.0,,0.06501,1478.12595,,,0.0,40.45,High,Not Rated,,0.1289,43.8,77.4,
5791,SOAD03417,Lyndrassia,No,Fish and Wildlife Pond,Earth,4.106,0.267,10000.0,1973.0,,0.14775,1664.55625,Uncontrolled,,0.0,,Low,Not Rated,,0.067,40.0,6.7,
5792,SOAD03627,Navaldia,No,,Earth,4.269,0.222,,1949.0,,0.08077,0.0,Uncontrolled,10/10/2008,,,Low,Not Rated,18/06/2014,0.095,47.7,21.3,
5794,SOAD04160,Navaldia,Yes,,,3.179,0.14,,2017.0,,,,Uncontrolled,16/03/2023,5.0,,High,Not Rated,19/10/2022,0.069,603.5,808.2,
5795,SOAD04242,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.351,0.033,,1954.0,,,,,,,29.69,Low,,,0.0999,17.4,408.4,
5797,SOAD05236,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.784,0.117,,1937.0,,,7.98987,,,,0.0,Low,,,0.0931,22.2,186.7,
5799,SOAD06568,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.85,0.067,,1970.0,,,5.32658,Uncontrolled,,,9.35,Low,,,0.0825,19.9,170.7,
5800,SOAD07021,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.464,0.067,,1939.0,,,,,,,10.83,Low,,,0.1159,7.4,376.6,
5801,SOAD07033,Lyndrassia,No,Flood Risk Reduction,Earth,7.374,0.183,13805.0,2001.0,,0.03349,266.329,Uncontrolled,01/11/2001,1.0,,Low,Not Rated,,0.0699,46.7,18.7,
5803,SOAD08027,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.716,,0.0,1937.0,,0.06501,2242.49018,,,0.0,26.81,Low,Not Rated,,0.1096,11.8,179.6,
5804,SOAD08211,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.24,0.22,,1962.0,,0.08668,0.0,,,,,Low,Not Rated,18/06/2014,0.1119,17.6,14.2,
5805,SOAD08223,Navaldia,Yes,Other,Earth,14.985,0.1,,1980.0,,0.02561,2.66329,,13/12/2017,2.0,,Significant,Satisfactory,,0.1352,9.1,214.2,
5806,SOAD08355,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.649,0.22,,1955.0,,,,,,,13.93,Low,,,0.1003,10.0,445.9,
5807,SOAD09129,Flumevale,Yes,Flood Risk Reduction,Earth,6.154,0.853,,2005.0,,0.05713,0.0,Uncontrolled,08/08/2019,3.0,0.0,Significant,Satisfactory,08/08/2019,0.117,39.8,404.3,
5808,SOAD09445,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.175,0.1,,1954.0,,,,,,,67.05,Low,,,0.0896,12.0,226.5,
5809,SOAD09504,Lyndrassia,No,Fish and Wildlife Pond,Earth,12.236,0.127,14161.0,1974.0,,0.19897,756.37436,Uncontrolled,,0.0,,Low,Not Rated,,0.1162,8.6,13.5,
5810,SOAD09600,Navaldia,Yes,Flood Risk Reduction,Earth,12.624,0.205,32370.0,1968.0,,0.02758,2.66329,,,,,Low,Not Rated,18/06/2014,0.0912,19.5,23.2,
5813,SOAD09893,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.035,0.098,,1963.0,,0.0,4231.96781,,,,,Low,Not Rated,18/06/2014,0.1022,22.6,6.8,
5815,SOAD10716,Lyndrassia,No,Flood Risk Reduction,Earth,9.356,0.16,14117.0,1991.0,,0.02561,775.01739,Uncontrolled,11/09/1999,1.0,,Low,Not Rated,,0.0642,47.1,7.5,
5816,SOAD11720,Lyndrassia,No,Grade Stabilization,Earth,8.338,0.167,14130.0,1975.0,,0.01576,623.2098599999999,Uncontrolled,,0.0,,Low,Not Rated,,0.1148,40.0,10.4,
5817,SOAD12280,Lyndrassia,Yes,Other,Earth,5.274,0.177,0.0,1936.0,,0.10638,6085.61765,Uncontrolled,04/06/2012,0.0,,Low,,,0.1062,16.9,16.7,
5820,SOAD12827,Navaldia,No,Flood Risk Reduction,Earth,11.048,0.0,14326.0,1984.0,,0.0,0.0,,,,,Low,Not Rated,18/06/2014,0.099,9.9,14.9,
5821,SOAD13050,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.124,0.067,,1959.0,,,26.6329,,,,1.59,Low,,,0.0973,15.9,580.8,
5823,SOAD13678,Lyndrassia,No,Flood Risk Reduction,Earth,8.732,0.16,13507.0,1999.0,,0.03349,809.6401599999999,Uncontrolled,01/10/1999,5.0,,Low,Not Rated,,0.0359,26.1,14.3,
5824,SOAD13686,Navaldia,Yes,,Earth,7.336,0.367,,,,0.08471,,Uncontrolled,10/12/2018,,,High,Not Rated,18/01/2019,0.0994,41.0,817.5,
5827,SOAD14380,Navaldia,No,,Earth,8.484,0.157,12378.0,1984.0,,0.02561,7.98987,,,,,Low,Not Rated,18/06/2014,0.1011,36.2,15.8,
5831,SOAD15714,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.427,0.1,,1950.0,,,,,,,89.44,Low,,,0.0893,6.1,65.7,
5833,SOAD16663,Lyndrassia,No,Fish and Wildlife Pond,Earth,11.711,0.208,25198.0,1981.0,,0.04925,1842.99668,Uncontrolled,,0.0,,Low,Not Rated,,0.0765,27.7,8.6,
5836,SOAD17776,Lyndrassia,No,Flood Risk Reduction,Earth,10.87,0.19,25977.0,2004.0,,0.07683,4394.4285,Uncontrolled,30/06/2003,0.0,,Low,Not Rated,,0.0909,39.8,5.3,
5839,SOAD19033,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.999,0.2,,1956.0,,0.07486,0.0,,,,,Low,Not Rated,18/06/2014,0.115,30.3,7.5,
5842,SOAD19561,Lyndrassia,No,Flood Risk Reduction,Earth,7.02,,0.0,1952.0,,0.06501,1723.14863,,,0.0,6.21,Low,Not Rated,,0.0734,30.7,454.8,
5844,SOAD20102,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.903,0.033,,1970.0,,,,,,,0.0,Low,,,0.0687,12.7,661.1,
5845,SOAD20342,Lyndrassia,No,Flood Risk Reduction,Earth,8.862,0.183,19945.0,2005.0,,0.02955,1193.15392,Uncontrolled,,0.0,,Low,Not Rated,,0.0724,11.0,4.9,
5848,SOAD00970,Lyndrassia,No,Other,Earth,7.227,,0.0,,,0.07092,900.19202,,,0.0,0.0,Low,Not Rated,,0.0598,42.3,524.0,
5850,SOAD01296,Lyndrassia,No,Grade Stabilization,Earth,6.014,0.196,7957.0,1975.0,,0.05713,2119.97884,Uncontrolled,,0.0,,Low,Not Rated,,0.0747,13.8,23.1,
5856,SOAD02942,Navaldia,Yes,Flood Risk Reduction,Earth,10.467,0.217,,1988.0,,0.05516,2.66329,Uncontrolled,29/11/2016,5.0,9.36,High,Not Rated,29/11/2021,0.0738,41.3,200.5,
5857,SOAD03430,Navaldia,Yes,Flood Risk Reduction,Earth,15.912,0.174,38330.0,1975.0,,0.0197,2.66329,,,,26.24,Low,Not Rated,18/06/2014,0.0622,41.9,374.2,
5858,SOAD03471,Lyndrassia,No,Debris Control,Earth,7.032,,0.0,1950.0,,0.06501,820.29332,,,0.0,0.0,Low,Not Rated,,0.1152,22.2,672.4,
5862,SOAD04862,Flumevale,Yes,Other,Earth,12.231,0.175,13000.0,1951.0,,0.04925,0.0,,09/03/2022,0.5,,Low,Satisfactory,01/09/2017,0.0653,5.6,17.7,
5863,SOAD04887,Flumevale,Yes,Other,Earth,4.266,0.117,3350.0,1872.0,,0.26989,,,14/09/2021,0.5,,Low,Satisfactory,01/09/2017,0.0602,429.6,8.0,
5866,SOAD05258,Lyndrassia,No,Flood Risk Reduction,Earth,8.77,0.18,16910.0,1989.0,,0.01773,237.03281,Uncontrolled,,0.0,,Low,Not Rated,,0.1161,5.1,21.7,
5870,SOAD05532,Lyndrassia,No,Fish and Wildlife Pond,Earth,7.966,0.133,15000.0,1973.0,,0.05122,601.90354,Uncontrolled,,0.0,,Low,Not Rated,,0.076,36.2,16.2,
5871,SOAD05995,Lyndrassia,No,Debris Control,Earth,6.861,,0.0,1978.0,,0.06304,825.6199,,,0.0,0.0,Low,Not Rated,,0.1283,14.8,659.6,
5875,SOAD06808,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,13.486,0.177,62000.0,1979.0,,0.06698,2.66329,Uncontrolled,30/03/2022,3.0,0.0,High,Satisfactory,19/12/2007,0.0993,14.9,649.4,
5876,SOAD07215,Lyndrassia,No,Flood Risk Reduction,Earth,10.568,0.137,16370.0,1995.0,,0.04137,2277.11295,Uncontrolled,,0.0,,Low,Not Rated,,0.0761,31.7,14.3,
5877,SOAD07328,Lyndrassia,No,Other,Earth,6.742,,0.0,,,0.06304,577.93393,,,0.0,4.7,High,Not Rated,,0.1034,40.4,205.6,
5878,SOAD07849,Navaldia,No,,Earth,6.221,0.693,,,,0.0197,2.66329,,,,,Low,Not Rated,18/06/2014,0.1137,22.6,4.9,
5879,SOAD08085,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.578,0.073,,1940.0,,,,,,,52.08,Low,,,0.0887,9.7,71.5,
5880,SOAD08256,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.29,0.05,,1957.0,,,,,,,22.98,Low,,,0.1276,21.3,460.3,
5882,SOAD09054,Lyndrassia,No,Flood Risk Reduction,Earth,11.856,0.163,21485.0,2005.0,,0.10441,2570.07485,Uncontrolled,,0.0,,Low,Not Rated,,0.1121,24.0,23.2,
5883,SOAD09374,Lyndrassia,No,Flood Risk Reduction,Earth,10.898,0.15,24216.0,1976.0,,0.04925,1605.96387,Uncontrolled,,0.0,,Low,Not Rated,,0.0788,25.7,5.5,
5884,SOAD09460,Navaldia,No,,Earth,8.844,0.132,75000.0,,,0.0,10.65316,Uncontrolled,,,,Low,Not Rated,12/11/2018,0.1083,13.5,17.7,
5885,SOAD09698,Lyndrassia,No,Grade Stabilization,Earth,9.576,0.15,12946.0,1977.0,,0.01576,719.0883,Uncontrolled,,0.0,,Low,Not Rated,,0.0788,31.7,5.6,
5886,SOAD10496,Lyndrassia,No,,Earth,7.679,,0.0,1990.0,,0.07683,681.80224,,,0.0,0.0,Low,Not Rated,,0.1163,20.2,766.8,
5887,SOAD10813,Navaldia,No,,Earth,4.876,0.198,8120.0,1964.0,,0.08274,0.0,,,,,Low,Not Rated,18/06/2014,0.0975,47.5,12.0,
5888,SOAD11233,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.969,0.1,,1954.0,,,2.66329,,,,9.9,Low,,,0.0941,13.9,131.9,
5889,SOAD11443,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.486,0.1,,1955.0,,,,,,,54.29,Low,,,0.1088,14.0,156.1,
5892,SOAD12003,Lyndrassia,No,Flood Risk Reduction,Earth,6.823,0.137,15825.0,1990.0,,0.05713,1960.18144,Uncontrolled,17/05/1991,0.0,,Low,Not Rated,,0.0802,39.1,17.3,
5893,SOAD12415,Lyndrassia,No,Fish and Wildlife Pond,Earth,8.699,0.167,3000.0,1977.0,,0.13199,1986.81434,Uncontrolled,,0.0,,Low,Not Rated,,0.1194,24.1,18.2,
5896,SOAD12943,Navaldia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.266,0.0,,1943.0,,0.05122,0.0,,22/08/1978,,16.12,Low,Not Rated,18/06/2014,0.0754,25.9,273.0,
5898,SOAD13234,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.153,0.067,,1948.0,,,29.29619,,,,9.94,Low,,,0.099,13.6,316.1,
5905,SOAD14413,Lyndrassia,No,Fish and Wildlife Pond,Earth,10.389,0.093,15543.0,1994.0,,0.10047,415.47324,Uncontrolled,,0.0,,Low,Not Rated,,0.0809,28.1,5.3,
5906,SOAD14779,Lyndrassia,No,Grade Stabilization,Earth,9.905,0.15,21579.0,1998.0,,0.01773,90.55186,Uncontrolled,,0.0,,Low,Not Rated,,0.1282,10.3,5.8,
5909,SOAD16255,Flumevale,Yes,Other,Earth,11.323,0.733,,1982.0,,0.03152,0.0,,,0.0,15.49,Low,Unsatisfactory,11/10/2012,0.108,31.5,143.7,
5910,SOAD16664,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.674,0.083,,1960.0,,,5.32658,Uncontrolled,,,52.81,Low,,,0.1162,13.3,173.4,
5911,SOAD16887,Lyndrassia,No,Flood Risk Reduction,Earth,12.607,0.167,21644.0,2001.0,,0.06698,2434.24706,Uncontrolled,03/12/2001,5.0,,Low,Not Rated,,0.0614,38.2,9.1,
5912,SOAD17043,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.584,0.058,,1950.0,,,,,,,71.04,Low,,,0.1035,9.0,51.3,
5913,SOAD17152,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,9.037,0.05,,1950.0,,,,,,,113.85,Low,,,0.1202,7.9,127.5,
5917,SOAD19642,Lyndrassia,No,Fish and Wildlife Pond,Earth,8.707,0.133,17860.0,1977.0,,0.02561,332.91125,Uncontrolled,,0.0,,Low,Not Rated,,0.0794,22.8,17.5,
5918,SOAD19657,Lyndrassia,No,Other,Earth,5.436,,0.0,1974.0,,0.0925899999999999,2016.11053,,,0.0,20.14,Low,Not Rated,,0.0801,27.0,330.6,
5920,SOAD20045,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.79,0.184,,1971.0,,,7.98987,Uncontrolled,,,0.0,Low,,,0.0989,23.6,539.9,
5925,SOAD01513,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.072,0.042,,1940.0,,,,,,,40.76,Low,,,0.0795,23.2,141.4,
5929,SOAD02272,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.645,0.374,,1942.0,,,23.96961,Uncontrolled,,,130.44,Low,,,0.108,18.5,228.3,
5933,SOAD03641,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.299,0.083,,1935.0,,,,,,,80.21,Low,,,0.0681,21.8,146.6,
5935,SOAD04042,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.931,0.1,,1975.0,,,,,,,14.42,Low,,,0.1061,11.1,366.6,
5936,SOAD04195,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,2.563,0.133,,1960.0,,,,,,,15.83,Low,,,0.1079,9.5,325.1,
5937,SOAD04334,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.923,0.117,,1946.0,,,,,,,41.0,Low,,,0.0702,23.6,232.9,
5938,SOAD04623,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.692,0.083,,1960.0,,,,,,,18.23,Low,,,0.0907,12.2,318.2,
5941,SOAD05036,Navaldia,Yes,Flood Risk Reduction,Earth,12.531,0.252,32150.0,1975.0,,0.0394,2.66329,Uncontrolled,,,27.61,Low,Not Rated,18/06/2014,0.059,13.9,403.9,
5944,SOAD06532,Lyndrassia,No,Fish and Wildlife Pond,Earth,9.146,0.233,20000.0,1959.0,,0.13199,10298.94243,Uncontrolled,,0.0,,Low,Not Rated,,0.1205,22.4,23.3,
5946,SOAD06819,Flumevale,Yes,,Earth,7.345,0.0,0.0,,,,,,12/05/2022,1.0,,High,Unsatisfactory,23/02/2021,0.1301,486.4,658.4,
5949,SOAD07735,Lyndrassia,No,Flood Risk Reduction,Earth,11.798,0.19,24732.0,2004.0,,0.00788,4210.66149,Uncontrolled,01/11/2004,1.0,,Low,Not Rated,,0.0962,19.4,5.0,
5953,SOAD08404,Navaldia,No,,Earth,4.262,0.033,,1976.0,,0.0788,0.0,,,,,Low,Not Rated,18/06/2014,0.1036,40.2,19.6,
5954,SOAD08705,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.28,0.267,16600.0,1999.0,,0.04925,2093.34594,Uncontrolled,01/11/1999,0.0,,Low,Not Rated,,0.0839,11.1,13.4,
5955,SOAD08817,Lyndrassia,No,Grade Stabilization,Earth,11.563,0.1,15045.0,1972.0,,0.06895,1797.72075,Uncontrolled,,0.0,,Low,Not Rated,,0.0581,11.6,23.5,
5956,SOAD09369,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.237,0.133,,1949.0,,,,,,,74.0,Low,,,0.111,19.8,103.6,
5957,SOAD09975,Lyndrassia,Yes,Other,Earth,17.499,0.13,90000.0,1980.0,,0.03349,0.0,Uncontrolled,25/02/2020,5.0,39.52,Low,Satisfactory,19/12/2007,0.0224,31.2,65.3,
5958,SOAD09977,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.323,,0.0,1965.0,,0.06698,367.53402,,,0.0,16.75,Low,Not Rated,,0.1058,6.7,259.5,
5959,SOAD10067,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.224,0.161,11350.0,1958.0,,0.05122,0.0,,,,,Low,Not Rated,18/06/2014,0.1187,31.5,15.1,
