ID,Region,Regulated Dam,Primary Purpose,Primary Type,Height (m),Length (km),Volume (m3),Year Completed,Years Modified,Surface (km2),Drainage (km2),Spillway,Inspection Frequency,Distance to Nearest City (km),Hazard,Assessment,Assessment Date,Probability of Failure,Loss given failure - prop (Qm),Loss given failure - liab (Qm),Loss given failure - BI (Qm)
SOAD07615,Navaldia,No,Irrigation,Earth,5.242,0.098,16009.700000000012,1954.0,1981.0,0.10441,0.0,Missing,-4.440892098500626e-16,18.908,Low,Not Rated,2014.0,0.0851,42.3,18.1,36.1
SOAD07635,Navaldia,No,Missing,Earth,7.209,0.2,12885.20000000004,1958.0,2000.0,0.0,0.0,Missing,-4.440892098500626e-16,29.531,Low,Not Rated,2014.0,0.0981,7.3,12.5,26.439999999999998
SOAD08123,Lyndrassia,No,Flood Risk Reduction,Earth,10.739,0.167,20726.0,2005.0,2010.0,0.04137,1667.21954,Uncontrolled,0.0,26.229,Low,Not Rated,2016.1,0.118,42.9,5.9,26.9
SOAD08633,Lyndrassia,No,Recreation,Earth,10.137,0.29369999999999996,0.0,1958.0,1998.0,0.05122,4807.23845,Missing,0.0,11.41,Low,Not Rated,2014.0,0.0672,18.9,364.5,3.0
SOAD08697,Flumevale,Yes,Irrigation,Earth,8.484,0.287,40134.0,1950.0,1985.0,0.06501,0.0,Uncontrolled,6.0,101.5,Low,Not Rated,2020.8,0.0886,18.3,143.7,38.9
SOAD09287,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.852,0.22,31453.699999999983,1941.0,2009.0,0.0776179999999993,5.32658,Uncontrolled,4.7,40.11,Low,Missing,2020.0,0.0757,14.5,49.9,27.299999999999997
SOAD09766,Lyndrassia,No,Flood Risk Reduction,Earth,12.043,0.157,24285.0,1998.0,2005.0,0.02561,783.00726,Uncontrolled,0.0,31.820999999999998,Low,Not Rated,2016.1,0.1207,45.2,16.5,25.19
SOAD09939,Navaldia,No,Missing,Earth,4.728,0.358,13430.100000000035,1969.0,2000.0,0.06501,0.0,Missing,-4.440892098500626e-16,32.662,Low,Not Rated,2014.0,0.0955,6.8,22.3,27.67
SOAD10139,Navaldia,No,Water Supply,Earth,5.357,0.217,16194.699999999983,1963.0,2000.0,0.0,0.0,Missing,-4.440892098500626e-16,10.511000000000003,Low,Not Rated,2014.0,0.1303,19.9,6.9,70.9
SOAD10279,Lyndrassia,No,Other,Earth,5.096,0.1969,0.0,1958.0,1978.0,0.0985,902.85531,Missing,0.0,0.0,Low,Not Rated,2014.0,0.1094,41.5,602.5,6.549999999999999
SOAD10451,Navaldia,No,Flood Risk Reduction,Earth,6.812,0.0,12688.49999999997,1977.0,2005.0,0.04137,0.0,Missing,-4.440892098500626e-16,30.738999999999997,Low,Not Rated,2014.0,0.0626,21.8,18.7,22.380000000000003
SOAD10758,Lyndrassia,No,Recreation,Earth,10.656,0.3023,0.0,1968.0,1999.0,0.04925,303.61506,Missing,0.0,0.0,Low,Not Rated,2014.0,0.0858,13.3,156.2,9.1
SOAD10917,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.123,0.05,28173.49999999997,1957.0,2006.0,0.11327500000000024,31.95948,Uncontrolled,1.7999999999999998,34.93,Low,Missing,2015.0,0.126,12.9,52.0,25.009999999999998
SOAD11138,Flumevale,Yes,Recreation,Earth,12.69,0.186,72218.0,1962.0,2001.0,0.06698,0.0,Uncontrolled,6.0,30.41,Low,Satisfactory,2019.0,0.029,21.3,136.3,8.4
SOAD11551,Lyndrassia,No,Recreation,Earth,7.243,0.2405,0.0,1957.0,1984.0,0.07289,276.98216,Missing,0.0,0.0,Low,Not Rated,2014.0,0.1093,44.1,774.7,7.1
SOAD11711,Navaldia,Yes,Recreation,Earth,4.641,0.177,68379.29999999999,1954.0,2007.0,0.0394,13.31645,Uncontrolled,6.5,19.861,Low,Not Rated,2022.0,0.0812,37.5,7.8,4.7
SOAD12361,Lyndrassia,Yes,Irrigation,Earth,10.99,0.185,14064.00000000003,1963.0,2005.0,0.23403600000000013,29.29619,Missing,-4.440892098500626e-16,70.54,Low,Missing,2017.5,0.0903,14.4,207.3,31.5
SOAD12672,Navaldia,No,Recreation,Earth,10.469,0.125,21101.400000000023,1965.0,2003.0,0.0,0.0,Missing,-4.440892098500626e-16,14.717,Low,Not Rated,2014.0,0.081,47.2,17.3,7.5
SOAD12819,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.743,0.14980000000000004,0.0,1960.0,1984.0,0.0591,790.99713,Missing,0.0,0.0,Low,Not Rated,2014.0,0.1153,24.7,380.6,18.38
SOAD13214,Lyndrassia,No,Flood Risk Reduction,Earth,10.305,0.2,19400.0,1986.0,2005.0,0.04334,1211.79695,Uncontrolled,0.0,33.489,Low,Not Rated,2015.3,0.1035,7.3,14.6,26.63
SOAD14180,Navaldia,No,Recreation,Earth,6.08,0.163,10663.0,1982.0,2000.0,0.0,0.0,Missing,-4.440892098500626e-16,14.913,Low,Not Rated,2014.0,0.0989,16.0,23.2,4.7
SOAD14325,Navaldia,Yes,Missing,Earth,12.851,0.067,78606.19999999998,1969.0,2008.0,0.01182,2.66329,Uncontrolled,6.0,12.9,Low,Not Rated,2022.0,0.0586,23.5,178.0,6.730000000000002
SOAD15008,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.996,0.09,69362.40000000002,1960.0,2006.0,0.09219600000000039,55.13010300000042,Missing,0.3500000000000001,125.66,Low,Missing,2015.9,0.1047,7.8,143.0,21.25
SOAD15531,Navaldia,No,Recreation,Earth,4.555,0.1,11760.700000000012,1965.0,1998.0,0.09653,0.0,Missing,-4.440892098500626e-16,14.526,Low,Not Rated,2014.0,0.0959,45.4,16.7,4.6
SOAD16170,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.012,0.067,16765.70000000001,1968.0,2006.0,0.09653,40.48200799999995,Missing,0.5999999999999999,46.97,Low,Missing,2015.1,0.0917,19.4,74.0,27.0
SOAD16213,Lyndrassia,Yes,Irrigation,Earth,7.182,0.025,10683.899999999994,1945.0,2006.0,0.23659699999999972,5.32658,Missing,0.04999999999999982,77.41,Low,Missing,2014.6,0.1181,9.9,56.0,19.5
SOAD16234,Navaldia,No,Recreation,Earth,4.103,0.16,18909.49999999997,1951.0,2000.0,0.0591,0.0,Missing,-4.440892098500626e-16,19.142,Low,Not Rated,2014.0,0.1207,30.1,5.0,7.1
SOAD16577,Lyndrassia,No,Recreation,Earth,8.591,0.1859,0.0,1974.0,2001.0,0.0591,716.4250099999999,Missing,0.0,0.0,High,Not Rated,2014.0,0.1232,35.7,374.2,4.8
SOAD16952,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,7.095,0.07,7357.899999999994,1916.0,2001.0,0.21275999999999984,21.30632,Missing,0.4999999999999998,49.2,Low,Missing,2016.6,0.1118,22.7,61.8,22.7
SOAD17107,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.061,0.033,5041.200000000041,1940.0,2006.0,0.13159600000000005,2.66329,Missing,0.2999999999999996,36.89,Low,Missing,2016.0,0.0997,21.6,201.1,20.849999999999998
SOAD17269,Navaldia,Yes,Missing,Earth,7.807,0.249,14380.0,1981.0,2006.0,0.0,0.0,Missing,5.0,31.982999999999997,Low,Not Rated,2014.0,0.061,26.9,23.8,29.23
SOAD17403,Navaldia,No,Recreation,Earth,5.389,0.21,14303.100000000035,1950.0,1999.0,0.0,0.0,Missing,-4.440892098500626e-16,1.56,Low,Not Rated,2014.0,0.1024,38.0,148.0,6.6
SOAD17697,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.664,0.176,0.0,1966.0,1967.0,0.05319,924.16163,Missing,0.0,0.0,Low,Not Rated,2014.0,0.1104,28.9,466.9,19.72
SOAD17786,Lyndrassia,No,Flood Risk Reduction,Earth,7.701,0.167,13970.0,1989.0,2006.0,0.04925,1933.54854,Uncontrolled,0.0,32.218,Low,Not Rated,2015.2,0.099,28.5,5.3,29.16
SOAD18012,Lyndrassia,No,Flood Risk Reduction,Earth,10.681,0.163,18650.0,1987.0,2004.0,0.06698,1728.47521,Uncontrolled,0.0,33.194,Low,Not Rated,2015.3,0.1128,9.7,7.3,22.68
SOAD18256,Lyndrassia,No,Flood Risk Reduction,Earth,10.57,0.152,18596.0,2008.0,2008.0,0.05122,1651.2398,Uncontrolled,0.0,24.143,Low,Not Rated,2016.5,0.0728,10.2,10.9,20.72
SOAD18411,Lyndrassia,No,Grade Stabilization,Earth,11.57,0.203,27326.0,1994.0,2005.0,0.04334,3411.67449,Uncontrolled,0.0,22.719,Low,Not Rated,2016.1,0.0779,27.5,12.3,24.05
SOAD18585,Navaldia,Yes,Water Supply,Earth,14.535,0.143,57028.80000000002,1890.0,2010.0,0.04137,5.32658,Missing,1.0,1.2290000000000028,High,Unsatisfactory,2017.1,0.1283,16.3,925.2,64.8
SOAD18854,Lyndrassia,Yes,Irrigation,Earth,5.102,0.083,3070.000000000029,1950.0,2006.0,0.14774999999999983,149.41056899999944,Missing,-4.440892098500626e-16,83.17,Low,Missing,2015.4,0.1049,5.2,123.2,14.7
SOAD19045,Lyndrassia,No,Recreation,Earth,8.68,0.211,0.0,1974.0,1980.0,0.05713,575.27064,Missing,0.0,0.0,Low,Not Rated,2014.0,0.0849,35.8,521.5,9.3
SOAD19209,Navaldia,No,Water Supply,Earth,5.83,0.11,17698.100000000035,1965.0,1999.0,0.10244,0.0,Missing,-4.440892098500626e-16,17.034,Low,Not Rated,2014.0,0.0741,6.2,9.5,36.4
SOAD19997,Lyndrassia,No,Recreation,Earth,12.449,0.24769999999999998,0.0,1987.0,1999.0,0.04334,364.87073,Missing,0.0,68.99,High,Not Rated,2014.0,0.104,30.3,47.7,3.5
SOAD20046,Lyndrassia,No,Missing,Missing,8.822,0.5504,0.0,1978.0,1940.0,0.05713,1009.38691,Missing,0.0,60.47,Low,Not Rated,2017.0,0.1079,27.9,219.3,9.16
SOAD20304,Lyndrassia,No,Missing,Gravity,6.93,0.149,10500.0,1957.0,1946.0,0.12411,15.97974,Missing,5.0,86.38200000000002,Low,Not Rated,2014.2,0.0743,46.4,6.3,21.16
SOAD00251,Lyndrassia,No,Other,Earth,7.536,0.183,15890.0,1998.0,2001.0,0.09456,1613.95374,Missing,0.0,14.388,Low,Not Rated,2014.0,0.0842,25.6,23.2,5.920000000000002
SOAD01064,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.452,0.125,10628.20000000004,1955.0,2001.0,0.18655899999999948,8.788856999999552,Missing,1.5,22.49,Low,Missing,2015.8,0.0772,6.0,145.3,30.240000000000002
SOAD01482,Navaldia,Yes,Irrigation,Earth,9.848,0.13,90559.7,1966.0,2009.0,0.05319,2.66329,Missing,1.0,4.975,High,Fair,2020.6,0.1074,28.5,765.5,3.5
SOAD01976,Navaldia,Yes,Recreation,Earth,2.926,0.025,48236.20000000001,1914.0,2006.0,0.14715899999999982,29.56251899999984,Missing,5.0,28.064,Low,Not Rated,2014.1,0.0556,20.8,23.8,5.1
SOAD02047,Navaldia,No,Water Supply,Earth,5.062,0.225,21648.400000000023,1961.0,1998.0,0.09653,0.0,Missing,-4.440892098500626e-16,24.542,Low,Not Rated,2014.0,0.083,47.6,7.4,22.0
SOAD02050,Lyndrassia,No,Irrigation,Earth,9.518,0.1932,0.0,1975.0,2001.0,0.04728,1206.47037,Missing,0.0,18.46,Low,Not Rated,2014.0,0.1164,23.2,257.2,40.4
SOAD02618,Lyndrassia,No,Debris Control,Earth,10.859,0.15239999999999995,0.0,1957.0,2003.0,0.05122,519.34155,Missing,0.0,0.0,High,Not Rated,2014.5,0.1407,18.5,765.4,20.29
SOAD02933,Lyndrassia,No,Grade Stabilization,Earth,7.806,0.15,15471.0,1975.0,2000.0,0.11426,2729.87225,Uncontrolled,0.0,36.087,Low,Not Rated,2015.5,0.1099,43.7,5.4,21.990000000000002
SOAD03397,Flumevale,Yes,Water Supply,Earth,10.048,0.242,15000.0,1959.0,2005.0,0.08471,5.32658,Missing,1.0,1.53,High,Satisfactory,2017.0,0.0885,13.0,687.6,54.0
SOAD03913,Lyndrassia,No,Recreation,Earth,7.465,0.1695,0.0,1947.0,1980.0,0.06501,1589.98413,Missing,0.0,3.19,High,Not Rated,2014.0,0.1231,31.2,164.4,8.8
SOAD04054,Lyndrassia,No,Recreation,Earth,9.959,0.2697,0.0,1980.0,2001.0,0.06501,1231.238967,Missing,0.0,0.0,Low,Not Rated,2014.0,0.0912,22.2,298.5,6.8
SOAD04142,Flumevale,Yes,Recreation,Earth,9.07,0.1,22803.20000000001,1956.0,2006.0,0.04925,29.29619,Uncontrolled,6.0,36.73,Low,Satisfactory,2016.0,0.0569,6.5,78.2,5.8
SOAD04486,Lyndrassia,No,Grade Stabilization,Earth,10.774,0.147,20765.0,1963.0,2000.0,0.00788,1078.63245,Uncontrolled,0.0,35.112,Low,Not Rated,2015.4,0.0933,19.7,22.1,23.99
SOAD04629,Navaldia,No,Missing,Earth,5.824,0.192,18932.79999999999,1951.0,1997.0,0.0,0.0,Missing,-4.440892098500626e-16,23.4,Low,Not Rated,2014.0,0.1296,16.2,8.2,24.9
SOAD05040,Lyndrassia,No,Other,Earth,10.896,0.1959,0.0,1972.0,2003.0,0.04925,564.61748,Missing,0.0,0.0,High,Not Rated,2014.0,0.129,34.2,130.1,5.159999999999998
SOAD05474,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.6,0.1,6513.3000000000175,1914.0,2001.0,0.1036220000000001,41.014666000000034,Missing,1.2000000000000002,68.87,Low,Missing,2017.0,0.0802,22.9,159.8,27.96
SOAD05904,Lyndrassia,Yes,Missing,Missing,15.019,0.4388,2.9103830456733704e-11,1990.0,2007.0,0.05122,244.49002199999973,Missing,0.7,1.54,Significant,Missing,2019.0,0.1419,16.3,392.6,8.980000000000002
SOAD06706,Flumevale,Yes,Irrigation,Earth,3.149,0.15,9001.0,1886.0,1982.0,0.12214,0.0,Missing,6.0,13.9,Low,Not Rated,2016.5,0.0755,39.6,250.2,13.6
SOAD06747,Lyndrassia,No,Irrigation,Earth,7.955,0.5,18259.0,1975.0,1999.0,0.00788,191.75688,Uncontrolled,0.0,31.320999999999998,Low,Not Rated,2015.8,0.0981,7.1,7.0,28.2
SOAD07122,Navaldia,Yes,Recreation,Earth,4.12,0.167,58182.5,1898.0,2008.0,0.10441,42.61264,Missing,1.0,1.931000000000001,High,Satisfactory,2015.4,0.1055,27.9,833.9,7.0
SOAD07601,Lyndrassia,No,Irrigation,Earth,7.198,0.155,0.0,1975.0,1982.0,0.07486,170.45056,Missing,0.0,0.0,Low,Not Rated,2014.0,0.0653,7.8,611.9,19.3
SOAD07808,Lyndrassia,No,Flood Risk Reduction,Earth,8.093,0.2,11841.0,1999.0,1975.0,0.00788,740.39462,Uncontrolled,5.0,57.25099999999999,Low,Not Rated,2015.1,0.0497,44.9,11.7,17.37
SOAD08230,Lyndrassia,Yes,Irrigation,Earth,10.802,0.1,3126.399999999994,1954.0,2003.0,0.22063999999999995,7.98987,Missing,0.5999999999999999,0.0,Low,Missing,2016.1,0.1059,19.4,242.7,44.7
SOAD08430,Navaldia,Yes,Irrigation,Earth,4.758,0.142,65656.80000000002,1953.0,2000.0,0.0925899999999999,10.65316,Uncontrolled,5.0,0.0,High,Fair,2020.0,0.0928,33.0,604.9,30.9
SOAD10166,Navaldia,No,Recreation,Earth,6.857,0.117,19142.899999999994,1952.0,1978.0,0.0,0.0,Missing,-4.440892098500626e-16,14.75,Low,Not Rated,2014.0,0.115,40.1,19.6,8.5
SOAD10361,Lyndrassia,Yes,Recreation,Earth,12.759,0.3,50000.0,1975.0,1992.0,0.05122,0.0,Uncontrolled,5.0,19.02,Low,Satisfactory,2007.0,0.0287,32.6,214.6,7.0
SOAD10717,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.355,0.083,17142.400000000023,1964.0,2005.0,0.19542400000000004,2.66329,Missing,1.4,7.8,Low,Missing,2016.2,0.072,23.3,105.3,28.97
SOAD11055,Lyndrassia,No,Irrigation,Earth,8.448,0.17389999999999997,0.0,1969.0,2002.0,0.05713,953.45782,Missing,0.0,21.22,High,Not Rated,2014.0,0.1134,35.4,177.2,15.8
SOAD12469,Lyndrassia,No,Irrigation,Earth,7.141,0.333,15000.0,1974.0,2005.0,0.06107,2322.38888,Uncontrolled,0.0,32.263999999999996,Low,Not Rated,2015.9,0.0803,44.5,17.8,35.4
SOAD12739,Flumevale,Yes,Water Supply,Earth,14.976,0.14,150000.0,1978.0,1996.0,0.06501,2.66329,Missing,1.0,1.09,High,Satisfactory,2017.0,0.0722,27.0,944.6,20.1
SOAD13007,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.394,0.058,20480.0,1950.0,2009.0,0.11938200000000032,20.507333000000017,Missing,0.5999999999999999,10.96,Low,Missing,2013.3,0.1272,7.0,100.5,26.11
SOAD13075,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,6.197,0.033,13076.199999999983,1950.0,1997.0,0.13592999999999966,17.04505599999993,Missing,1.2,19.81,Low,Missing,2017.1,0.0719,14.8,212.2,25.310000000000002
SOAD13156,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,10.445,0.19800000000000004,0.0,1946.0,1996.0,0.05122,402.15679,Missing,0.0,7.67,Low,Not Rated,2014.0,0.081,10.2,119.1,24.05
SOAD13340,Lyndrassia,No,Flood Risk Reduction,Earth,11.058,0.174,19310.0,1992.0,1994.0,0.02561,2202.54083,Uncontrolled,1.0,25.427,Low,Not Rated,2015.1,0.0669,30.2,10.8,21.41
SOAD13441,Lyndrassia,Yes,Irrigation,Earth,7.17,0.067,16977.70000000001,1963.0,2008.0,0.19857600000000009,23.96961,Missing,0.1999999999999995,98.66,Low,Missing,2014.6,0.1261,14.0,125.1,28.8
SOAD13639,Lyndrassia,No,Recreation,Earth,8.49,0.2439,0.0,1950.0,2006.0,0.0591,476.72891,Missing,0.0,0.0,High,Not Rated,2014.3,0.1348,31.5,886.0,5.5
SOAD13695,Flumevale,Yes,Water Supply,Earth,6.795,0.057,1550.0,1966.0,1998.0,0.10244,34.62277,Missing,0.5,10.960999999999999,Low,Satisfactory,2018.0,0.0695,5.2,6.3,14.8
SOAD14919,Navaldia,Yes,Flood Risk Reduction,Earth,10.208,0.293,50817.0,1965.0,2006.0,0.0,0.0,Missing,5.0,22.149,Low,Not Rated,2014.0,0.1206,13.1,19.6,21.77
SOAD15019,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.98,0.1678,0.0,1975.0,1995.0,0.05713,367.53402,Missing,0.0,0.0,Low,Not Rated,2014.0,0.1083,25.9,435.0,18.79
SOAD15075,Lyndrassia,No,Flood Risk Reduction,Earth,10.897,0.113,18285.0,1991.0,2004.0,0.15563,1667.21954,Uncontrolled,0.0,32.782,Low,Not Rated,2015.5,0.1155,45.6,20.2,25.82
SOAD15255,Flumevale,Yes,Other,Earth,19.286,0.104,23000.0,1950.0,1995.0,0.04334,7.98987,Missing,0.5,10.764999999999999,Low,Satisfactory,2017.0,0.0739,21.2,14.6,42.089999999999996
SOAD16027,Navaldia,No,Missing,Missing,4.269,0.233,16339.437000000034,1969.0,1937.0,0.10047,138.7574090000005,Missing,-4.440892098500626e-16,14.105999999999998,Low,Not Rated,2019.0,0.1021,23.0,5.5,14.299999999999999
SOAD16202,Navaldia,No,Missing,Earth,5.105,0.133,13356.899999999965,1960.0,2000.0,0.08668,0.0,Missing,-4.440892098500626e-16,28.854,Low,Not Rated,2014.0,0.093,35.5,22.8,23.44
SOAD16319,Lyndrassia,No,Irrigation,Earth,5.402,0.15689999999999996,0.0,1963.0,1997.0,0.0886499999999999,745.7212,Missing,0.0,19.76,High,Not Rated,2014.0,0.1327,30.7,127.0,20.3
SOAD16920,Lyndrassia,No,Missing,Missing,14.983,0.2,41000.0,1995.0,1991.0,0.05122,790.99713,Uncontrolled,0.0,1.93,High,Not Rated,2020.3,0.1262,17.6,608.6,6.059999999999999
SOAD16937,Lyndrassia,No,Recreation,Earth,7.966,0.19769999999999996,0.0,1978.0,2001.0,0.06895,700.4452699999999,Missing,0.0,5.04,Low,Not Rated,2014.0,0.0893,22.4,430.3,4.9
SOAD17208,Navaldia,No,Flood Risk Reduction,Earth,11.249,0.233,12000.0,1985.0,2004.0,0.0,0.0,Missing,-4.440892098500626e-16,23.217,Low,Not Rated,2014.0,0.1062,14.1,6.3,29.970000000000002
SOAD17217,Lyndrassia,Yes,Irrigation,Earth,5.916,0.05,8283.600000000006,1950.0,1998.0,0.07742100000000018,87.08958299999995,Missing,3.5999999999999996,11.18,Low,Missing,2014.6,0.0727,23.2,306.8,6.2
SOAD17267,Lyndrassia,No,Flood Risk Reduction,Earth,10.232,0.143,17891.0,1994.0,2007.0,0.03152,828.28319,Uncontrolled,0.0,32.916,Low,Not Rated,2015.4,0.1036,10.4,20.5,26.869999999999997
SOAD17454,Navaldia,Yes,Missing,Earth,8.514,0.344,10462.0,1967.0,2006.0,0.0,0.0,Missing,5.0,23.656999999999996,Low,Not Rated,2014.0,0.0948,20.7,23.6,23.37
SOAD17521,Lyndrassia,No,Recreation,Earth,10.654,0.24180000000000001,0.0,1972.0,1999.0,0.05122,2788.46463,Missing,0.0,15.01,Low,Not Rated,2014.0,0.1153,5.9,371.8,8.4
SOAD18392,Navaldia,Yes,Recreation,Earth,11.245,0.2,49639.0,1982.0,2015.0,0.06895,2.66329,Uncontrolled,5.0,4.133999999999999,High,Fair,2016.0,0.0841,14.3,609.7,6.2
SOAD18710,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,5.283,0.067,10628.20000000004,1945.0,2000.0,0.11012299999999975,16.246069000000034,Missing,1.5,32.58,Low,Missing,2016.0,0.081,19.7,181.2,24.71
SOAD19016,Navaldia,No,Water Supply,Earth,5.662,0.187,17263.099999999977,1969.0,1999.0,0.08668,0.0,Missing,-4.440892098500626e-16,16.240000000000002,Low,Not Rated,2014.0,0.0619,13.4,18.2,27.9
SOAD19473,Navaldia,No,Recreation,Earth,10.324,0.75,44200.0,1977.0,1999.0,0.0,0.0,Missing,-4.440892098500626e-16,14.652000000000001,Low,Not Rated,2014.0,0.0873,8.2,18.1,6.2
SOAD19517,Lyndrassia,Yes,Missing,Missing,13.353,0.144,184.0000000000291,2004.0,2012.0,0.07289,5.32658,Missing,1.3,7.69,Significant,Satisfactory,2019.0,0.1198,25.1,421.4,9.25
SOAD19908,Lyndrassia,No,Flood Risk Reduction,Earth,12.723,0.133,22378.0,2005.0,2009.0,0.0591,189.09359,Uncontrolled,0.0,24.143,Low,Not Rated,2016.0,0.0786,5.2,6.4,24.54
SOAD19979,Lyndrassia,No,Recreation,Earth,8.488,0.2979,0.0,1976.0,2000.0,0.05713,852.2528,Missing,0.0,0.0,Low,Not Rated,2014.0,0.0676,8.4,188.5,7.9
SOAD20015,Lyndrassia,No,Recreation,Earth,8.952,0.1854,0.0,1970.0,1982.0,0.0591,4785.93213,Missing,0.0,9.8,High,Not Rated,2014.0,0.1009,39.4,339.8,3.0
SOAD20792,Flumevale,Yes,Other,Buttress,3.992,0.04,0.0,1965.0,2000.0,0.18912,5501.558152999999,Missing,0.5,9.742,Low,Satisfactory,2017.0,0.054,37.9,23.0,35.43
SOAD00825,Navaldia,Yes,Recreation,Earth,12.366,0.133,48351.00000000003,1965.0,2010.0,0.06501,2.66329,Missing,1.0,3.34,High,Satisfactory,2013.9,0.0915,44.1,699.2,6.5
SOAD00974,Navaldia,No,Recreation,Earth,6.463,0.213,21732.79999999999,1960.0,1999.0,0.10047,0.0,Missing,-4.440892098500626e-16,12.433,Low,Not Rated,2014.0,0.1186,41.5,23.1,6.1
SOAD01917,Lyndrassia,No,Recreation,Earth,6.312,0.23179999999999998,0.0,1973.0,2001.0,0.08668,69.24554,Missing,0.0,6.13,Low,Not Rated,2014.0,0.0815,34.1,453.4,8.8
SOAD02450,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.031,0.117,29267.800000000047,1955.0,1993.0,0.11957900000000032,37.55238899999995,Missing,0.9000000000000001,0.0,Low,Missing,2016.3,0.1116,5.8,870.6,28.34
SOAD02638,Lyndrassia,No,Recreation,Earth,9.747,0.18620000000000003,0.0,1949.0,1981.0,0.04925,988.08059,Missing,0.0,8.24,High,Not Rated,2014.0,0.1104,38.4,442.6,6.6
SOAD02947,Flumevale,Yes,Water Supply,Earth,10.817,0.13,20600.0,1954.0,1998.0,0.0985,13.31645,Missing,1.0,0.0,High,Satisfactory,2017.0,0.0816,41.1,866.7,13.9
SOAD03289,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,8.837,0.1,20451.199999999983,1976.0,1999.0,0.09909100000000004,5.32658,Missing,1.7,16.41,Low,Missing,2014.9,0.0991,20.0,408.3,19.85
SOAD03694,Navaldia,Yes,Recreation,Earth,4.164,0.207,30084.300000000017,1955.0,2011.0,0.12411,10.65316,Missing,1.0,2.1999999999999993,High,Fair,2021.0,0.1079,26.6,808.5,5.5
SOAD03729,Lyndrassia,No,Recreation,Earth,6.502,0.3537,0.0,1965.0,2000.0,0.08471,2317.0623,Missing,0.0,36.91,Low,Not Rated,2014.0,0.071,14.8,52.4,7.0
SOAD04399,Lyndrassia,No,Recreation,Earth,7.284,0.28759999999999997,0.0,1977.0,2000.0,0.07683,74.57212,Missing,0.0,0.0,Low,Not Rated,2014.0,0.0966,41.1,208.9,3.2
SOAD04424,Lyndrassia,Yes,Irrigation,Earth,5.237,0.167,10852.600000000006,1953.0,2001.0,0.2306870000000001,472.2013169999998,Missing,1.8,8.27,Low,Missing,2017.0,0.078,18.6,146.6,42.3
SOAD04676,Lyndrassia,No,Debris Control,Earth,8.625,0.1974,0.0,1967.0,1990.0,0.05713,950.79453,Missing,0.0,25.26,High,Not Rated,2014.0,0.1355,46.9,104.4,24.19
SOAD04942,Lyndrassia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,11.622,0.123,16590.0,1944.0,1995.0,0.01773,135.82779,Uncontrolled,0.0,24.759,Low,Not Rated,2014.0,0.0807,11.5,7.0,24.2
SOAD05017,Lyndrassia,No,Grade Stabilization,Earth,10.388,0.122,13691.0,1997.0,2006.0,0.08274,1712.49547,Uncontrolled,0.0,32.916,Low,Not Rated,2016.0,0.1071,14.5,22.3,26.259999999999998
SOAD05085,Lyndrassia,No,Recreation,Earth,10.364,0.20809999999999998,0.0,1965.0,2006.0,0.04925,372.8606,Missing,0.0,4.63,High,Not Rated,2014.6,0.0774,13.9,665.3,3.3
SOAD06124,Navaldia,No,Irrigation,Earth,3.634,0.315,16221.599999999977,1960.0,1998.0,0.09653,0.0,Missing,1.5,23.182,Low,Not Rated,2014.0,0.053,38.8,10.7,2.4
SOAD06513,Lyndrassia,No,Flood Risk Reduction,Gravity,6.461,0.094,5702.0,1975.0,1952.0,0.12017,37.286060000000134,Missing,5.0,66.79,Low,Not Rated,2014.8,0.0561,12.8,199.1,24.73
SOAD06737,Navaldia,No,Water Supply,Earth,5.131,0.333,15339.29999999996,1974.0,1999.0,0.0,0.0,Missing,-4.440892098500626e-16,22.556,Low,Not Rated,2014.0,0.1199,7.6,14.1,4.9
SOAD06753,Navaldia,No,Recreation,Earth,10.029,0.188,17337.0,1976.0,1998.0,0.0,0.0,Missing,-4.440892098500626e-16,17.024,Low,Not Rated,2014.0,0.0963,47.6,7.5,7.4
